,Company,Date,Open,High,Low,Close,Adj Close,Volume
133,SAIL.NS,2020-05-07,28.0,28.950001,27.9,28.4,28.4,10084832
134,SAIL.NS,2020-05-08,29.049999,29.25,28.25,28.4,28.4,9909903
135,SAIL.NS,2020-05-11,28.549999,28.950001,28.25,28.4,28.4,9173149
136,SAIL.NS,2020-05-12,28.0,28.0,27.25,27.65,27.65,12003321
137,SAIL.NS,2020-05-13,29.450001,29.450001,28.299999,28.75,28.75,18992041
138,SAIL.NS,2020-05-14,28.1,28.6,27.799999,28.15,28.15,9714715
139,SAIL.NS,2020-05-15,28.25,30.200001,27.35,29.35,29.35,46554890
140,SWSOLAR.NS,2020-05-04,157.399994,157.399994,157.399994,157.399994,157.399994,15580
141,SWSOLAR.NS,2020-05-05,149.550003,149.550003,149.550003,149.550003,149.550003,7412
142,SWSOLAR.NS,2020-05-06,142.100006,142.100006,142.100006,142.100006,142.100006,6116
143,SWSOLAR.NS,2020-05-07,135.0,135.0,135.0,135.0,135.0,36970
144,SWSOLAR.NS,2020-05-08,128.25,141.75,128.25,128.25,128.25,2331599
145,SWSOLAR.NS,2020-05-11,132.399994,132.399994,122.150002,124.25,124.25,509906
146,SWSOLAR.NS,2020-05-12,121.0,124.0,118.050003,119.900002,119.900002,534429
147,SWSOLAR.NS,2020-05-13,125.0,125.0,114.5,116.949997,116.949997,288825
148,SWSOLAR.NS,2020-05-14,115.0,115.0,111.25,111.800003,111.800003,259880
149,SWSOLAR.NS,2020-05-15,111.25,117.349998,106.5,117.349998,117.349998,351939
150,STRTECH.NS,2020-05-04,88.699997,89.300003,86.849998,87.449997,87.449997,1245437
151,STRTECH.NS,2020-05-05,91.449997,91.5,88.099998,88.650002,88.650002,1189091
152,STRTECH.NS,2020-05-06,88.800003,89.699997,87.0,88.400002,88.400002,866161
153,STRTECH.NS,2020-05-07,88.949997,94.400002,87.5,93.150002,93.150002,4301217
154,STRTECH.NS,2020-05-08,95.099998,95.900002,92.349998,93.599998,93.599998,1763194
155,STRTECH.NS,2020-05-11,96.900002,97.5,94.25,95.199997,95.199997,2624293
156,STRTECH.NS,2020-05-12,95.5,98.699997,91.400002,96.800003,96.800003,5502790
157,STRTECH.NS,2020-05-13,99.900002,106.400002,96.800003,101.0,101.0,6801685
158,STRTECH.NS,2020-05-14,100.0,102.800003,97.099998,100.099998,100.099998,1884424
159,STRTECH.NS,2020-05-15,100.5,102.0,99.199997,100.150002,100.150002,1289196
160,STAR.NS,2020-05-04,429.700012,469.0,416.399994,437.700012,437.700012,2696653
161,STAR.NS,2020-05-05,447.700012,454.200012,418.0,420.75,420.75,878701
162,STAR.NS,2020-05-06,424.0,426.75,407.0,412.549988,412.549988,772749
163,STAR.NS,2020-05-07,410.0,445.0,410.0,425.39999400000005,425.39999400000005,2464940
164,STAR.NS,2020-05-08,435.0,438.14999400000005,419.299988,421.0,421.0,736021
165,STAR.NS,2020-05-11,430.0,434.89999400000005,412.600006,416.049988,416.049988,683227
166,STAR.NS,2020-05-12,418.950012,427.0,405.049988,409.5,409.5,795398
167,STAR.NS,2020-05-13,416.0,422.700012,408.0,413.350006,413.350006,580263
168,STAR.NS,2020-05-14,407.899994,431.700012,407.350006,423.049988,423.049988,1141025
169,STAR.NS,2020-05-15,425.0,429.450012,414.0,416.350006,416.350006,521989
170,SUDARSCHEM.NS,2020-05-04,404.75,413.0,395.5,402.450012,402.450012,167299
171,SUDARSCHEM.NS,2020-05-05,406.0,409.700012,380.0,382.149994,382.149994,211410
172,SUDARSCHEM.NS,2020-05-06,388.0,395.0,382.5,383.700012,383.700012,134992
173,SUDARSCHEM.NS,2020-05-07,380.0,384.75,375.0,376.350006,376.350006,111607
174,SUDARSCHEM.NS,2020-05-08,380.0,389.0,370.0,372.5,372.5,150805
175,SUDARSCHEM.NS,2020-05-11,376.5,379.899994,366.0,371.200012,371.200012,90919
176,SUDARSCHEM.NS,2020-05-12,369.950012,375.0,360.0,366.450012,366.450012,102070
177,SUDARSCHEM.NS,2020-05-13,380.0,384.0,367.600006,368.600006,368.600006,123343
178,SUDARSCHEM.NS,2020-05-14,364.0,365.5,360.0,360.399994,360.399994,83754
179,SUDARSCHEM.NS,2020-05-15,362.899994,368.0,354.0,364.75,364.75,122156
180,SPARC.NS,2020-05-04,129.0,139.800003,127.599998,134.899994,134.899994,1559148
181,SPARC.NS,2020-05-05,136.600006,138.399994,131.100006,131.949997,131.949997,873294
182,SPARC.NS,2020-05-06,133.0,134.850006,130.300003,131.399994,131.399994,452414
183,SPARC.NS,2020-05-07,132.0,138.649994,132.0,135.800003,135.800003,1302208
184,SPARC.NS,2020-05-08,137.0,137.5,133.600006,134.300003,134.300003,597251
185,SPARC.NS,2020-05-11,135.699997,135.699997,131.350006,132.149994,132.149994,342934
186,SPARC.NS,2020-05-12,132.100006,133.899994,128.800003,131.350006,131.350006,403255
187,SPARC.NS,2020-05-13,134.0,135.0,131.0,132.75,132.75,310277
188,SPARC.NS,2020-05-14,132.75,137.0,131.800003,133.449997,133.449997,899584
189,SPARC.NS,2020-05-15,133.0,134.699997,131.199997,132.0,132.0,240136
190,SUNPHARMA.NS,2020-05-04,464.450012,474.5,458.0,465.450012,465.450012,16097066
191,SUNPHARMA.NS,2020-05-05,469.799988,472.5,454.0,456.299988,456.299988,7850482
192,SUNPHARMA.NS,2020-05-06,459.60000599999995,463.0,448.0,454.39999400000005,454.39999400000005,10829910
193,SUNPHARMA.NS,2020-05-07,462.0,465.700012,450.200012,452.200012,452.200012,11216033
194,SUNPHARMA.NS,2020-05-08,460.0,471.39999400000005,454.049988,469.0,469.0,13693803
195,SUNPHARMA.NS,2020-05-11,473.700012,475.549988,461.299988,463.85000599999995,463.85000599999995,10294818
196,SUNPHARMA.NS,2020-05-12,465.0,468.799988,455.299988,463.89999400000005,463.89999400000005,9507971
197,SUNPHARMA.NS,2020-05-13,469.0,469.450012,450.200012,452.35000599999995,452.35000599999995,10010310
198,SUNPHARMA.NS,2020-05-14,453.0,462.950012,448.799988,455.950012,455.950012,11764703
199,SUNPHARMA.NS,2020-05-15,455.950012,458.89999400000005,445.549988,448.60000599999995,448.60000599999995,7860262
200,SUNTV.NS,2020-05-04,377.799988,388.0,372.600006,381.25,381.25,2295036
201,SUNTV.NS,2020-05-05,385.0,390.0,376.0,377.549988,377.549988,1444179
202,SUNTV.NS,2020-05-06,383.0,383.350006,373.600006,376.950012,376.950012,2488850
203,SUNTV.NS,2020-05-07,375.100006,389.049988,372.649994,382.25,382.25,1520185
204,SUNTV.NS,2020-05-08,387.5,411.0,375.200012,378.75,378.75,8509328
205,SUNTV.NS,2020-05-11,383.0,395.0,380.700012,392.5,392.5,2861407
206,SUNTV.NS,2020-05-12,388.799988,415.0,381.600006,408.299988,408.299988,3748008
207,SUNTV.NS,2020-05-13,415.0,415.0,390.0,391.399994,391.399994,3862926
208,SUNTV.NS,2020-05-14,389.0,394.850006,383.200012,385.549988,385.549988,1779817
209,SUNTV.NS,2020-05-15,385.700012,392.0,381.0,386.350006,386.350006,1858274
210,SUNCLAYLTD.NS,2020-05-04,1410.0,1437.949951,1390.0,1400.050049,1400.050049,1281
211,SUNCLAYLTD.NS,2020-05-05,1433.949951,1433.949951,1400.0,1403.550049,1403.550049,328
212,SUNCLAYLTD.NS,2020-05-06,1401.849976,1417.0,1392.0,1398.849976,1398.849976,373
213,SUNCLAYLTD.NS,2020-05-07,1400.150024,1419.050049,1396.849976,1405.300049,1405.300049,244
214,SUNCLAYLTD.NS,2020-05-08,1430.050049,1430.050049,1375.5,1408.150024,1408.150024,390
215,SUNCLAYLTD.NS,2020-05-11,1408.300049,1435.050049,1328.349976,1341.0,1341.0,1840
216,SUNCLAYLTD.NS,2020-05-12,1369.699951,1374.949951,1330.199951,1367.699951,1367.699951,355
