Company Name,Industry,Change in 1 Year
India Cements Ltd,CEMENT & CEMENT PRODUCTS,-3.08
India Tourism Development Corporation Ltd,SERVICES,-36.52
Indiabulls Real Estate Ltd,CONSTRUCTION,-49.33
Indiabulls Ventures Ltd,FINANCIAL SERVICES,-63.93
Indian Bank,FINANCIAL SERVICES,-79.43
Indian Energy Exchange Ltd,FINANCIAL SERVICES,-5.78
Indian Hotels Co Ltd,SERVICES,-48.23
Indian Oil Corporation Ltd,OIL & GAS,-46.73
IndoStar Capital Finance Ltd,FINANCIAL SERVICES,-33.31
IndusInd Bank Ltd,FINANCIAL SERVICES,-70.86
Infibeam Avenues Ltd,IT,7.08
Info Edge (India) Ltd,IT,31.78
Infosys Ltd,IT,-4.77
Inox Leisure Ltd,MEDIA & ENTERTAINMENT,-32.47
Intellect Design Arena Ltd,IT,-68.13
InterGlobe Aviation Ltd,SERVICES,-34.39
Ipca Laboratories Ltd,PHARMA,69.94
IRB Infrastructure Developers Ltd,CONSTRUCTION,-43.03
ITC Ltd,CONSUMER GOODS,-39.59
ITI Ltd,TELECOM,-4.08
JB Chemicals and Pharmaceuticals Ltd,PHARMA,61.99
JK Cement Ltd,CEMENT & CEMENT PRODUCTS,23.91
Jagran Prakashan Ltd,MEDIA & ENTERTAINMENT,-62.97
Jai Corp Ltd,INDUSTRIAL MANUFACTURING,-39.09
Jammu and Kashmir Bank Ltd,FINANCIAL SERVICES,-75.39
Jamna Auto Industries Ltd,AUTOMOBILE,-52.42
Jindal Saw Ltd,METALS,-31.2
Jindal Stainless (Hisar) Ltd,METALS,-49.08
Jindal Stainless Ltd,METALS,-16.58
JK Lakshmi Cement Ltd,CEMENT & CEMENT PRODUCTS,-46.33
JK Paper Ltd,TEXTILES & PAPER,-28.28
JK Tyre and Industries Ltd,AUTOMOBILE,-40.73
JM Financial Ltd,FINANCIAL SERVICES,-25.65
Johnson Controls - Hitachi Air Conditioning India Ltd,CONSUMER GOODS,27.64
JSW Energy Ltd,POWER,-36.15
JSW Steel Ltd,METALS,-41.41
Jubilant Foodworks Ltd,CONSUMER GOODS,21.08
Jubilant Life Sciences Ltd,PHARMA,-39.43
Justdial Ltd,IT,-30.08
Jyothy Labs Ltd,CONSUMER GOODS,-35.38
KPR Mill Ltd,TEXTILES & PAPER,-23.3
Kajaria Ceramics Ltd,CONSTRUCTION,-37.04
Kalpataru Power Transmission Ltd,POWER,-50.93
Kansai Nerolac Paints Ltd,CONSUMER GOODS,-6.16
