Name,Company,Industry,Date,Open,High,Low,Close,Adj Close,Volume
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,06-05-19,2896.949951,2929.949951,2888,2920.600098,2898.378418,411016
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,07-05-19,2936,2952,2925.25,2942.449951,2920.062012,458140
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,08-05-19,2943,2947.800049,2882.600098,2900.5,2878.431396,450398
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,09-05-19,2882.25,2909.300049,2838.600098,2900.600098,2878.530518,731120
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,10-05-19,2908,2917.199951,2866.350098,2876.399902,2854.514648,339092
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,13-05-19,2850.050049,2859.949951,2777.649902,2802.75,2781.425049,659200
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,14-05-19,2785.800049,2827,2760.050049,2807.600098,2786.238281,484950
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,15-05-19,2811,2853.850098,2792,2813.550049,2792.142822,478805
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,16-05-19,2813.149902,2826.350098,2760.199951,2801,2779.688232,385300
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,17-05-19,2791,2810,2667.449951,2745,2724.114502,1160721
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,20-05-19,2778,2779,2542.550049,2589.399902,2569.698242,2659265
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,21-05-19,2594,2699.949951,2594,2667,2646.707764,2008336
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,22-05-19,2664.899902,2679.899902,2621.850098,2657.75,2637.52832,765196
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,23-05-19,2680,2699.899902,2626.399902,2637.300049,2617.233887,546632
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,24-05-19,2650,2673.949951,2626.199951,2663.899902,2643.631348,471150
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,27-05-19,2664,2669,2632.449951,2658,2637.776367,340656
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,28-05-19,2665,2684,2626.399902,2651.949951,2631.772461,1252297
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,29-05-19,2650,2650,2592.449951,2610.75,2590.885986,774498
