Security,Industry,Change_Since Lockdown
MAHSCOOTER,AUTOMOBILE,6%
MAHSEAMLES,METALS,12%
MANAPPURAM,FINANCIAL SERVICES,28%
MARICO,CONSUMER GOODS,-6%
MARUTI,AUTOMOBILE,4%
MASFIN,FINANCIAL SERVICES,9%
MCDOWELL-N,CONSUMER GOODS,-1%
MCX,FINANCIAL SERVICES,2%
METROPOLIS,HEALTHCARE,1%
MFSL,FINANCIAL SERVICES,10%
MGL,ENERGY,4%
MHRIL,SERVICES,-2%
MIDHANI,SERVICES,-2%
MINDACORP,AUTOMOBILE,3%
MINDAIND,AUTOMOBILE,24%
MINDTREE,IT & TELECOM,18%
MMTC,SERVICES,4%
MOIL,METALS,3%
MOTHERSUMI,AUTOMOBILE,7%
MOTILALOFS,FINANCIAL SERVICES,-5%
MPHASIS,IT & TELECOM,6%
MRF,AUTOMOBILE,0%
MRPL,FINANCIAL SERVICES,10%
MUTHOOTFIN,FINANCIAL SERVICES,24%
NAM-INDIA,FINANCIAL SERVICES,-14%
NATCOPHARM,HEALTHCARE,-1%
NATIONALUM,METALS,1%
NAUKRI,SERVICES,8%
NAVINFLUOR,CHEMICALS,9%
NBCC,INFRASTRUCTURE,-13%
NBVENTURES,FINANCIAL SERVICES,-5%
NCC,INFRASTRUCTURE,-3%
NESCO,SERVICES,-3%
NESTLEIND,CONSUMER GOODS,0%
NETWORK18,MEDIA & ENTERTAINMENT,16%
NFL,FERTILISERS & PESTICIDES,0%
NH,HEALTHCARE,2%
NHPC,ENERGY,-7%
NIACL,FINANCIAL SERVICES,-5%
NIITTECH,IT & TELECOM,12%
NILKAMAL,INDUSTRIAL MANUFACTURING,3%
NLCINDIA,ENERGY,-1%
NMDC,METALS,0%
NTPC,ENERGY,0%
OBEROIRLTY,INFRASTRUCTURE,1%
OFSS,IT & TELECOM,7%
OIL,ENERGY,10%
OMAXE,INFRASTRUCTURE,1%
ONGC,ENERGY,6%
ORIENTCEM,INFRASTRUCTURE,-13%
ORIENTELEC,CONSUMER GOODS,2%
ORIENTREF,INDUSTRIAL MANUFACTURING,8%
PAGEIND,INDUSTRIAL MANUFACTURING,8%
PARAGMILK,CONSUMER GOODS,-12%
PCJEWELLER,CONSUMER GOODS,-4%
PEL,HEALTHCARE,10%
PERSISTENT,IT & TELECOM,-4%
PETRONET,ENERGY,11%
PFC,FINANCIAL SERVICES,6%
PFIZER,HEALTHCARE,13%
PGHH,CONSUMER GOODS,-4%
PGHL,HEALTHCARE,-1%
PHILIPCARB,CHEMICALS,-3%
PHOENIXLTD,INFRASTRUCTURE,5%
PIDILITIND,CHEMICALS,3%
PIIND,FERTILISERS & PESTICIDES,9%
PNB,FINANCIAL SERVICES,3%
PNBHOUSING,FINANCIAL SERVICES,12%
PNCINFRA,INFRASTRUCTURE,2%
POLYCAB,INDUSTRIAL MANUFACTURING,-1%
POWERGRID,ENERGY,-1%
PRAJIND,INDUSTRIAL MANUFACTURING,-6%
PRESTIGE,INFRASTRUCTURE,-1%
PRSMJOHNSN,INFRASTRUCTURE,3%
PTC,ENERGY,-5%
PVR,MEDIA & ENTERTAINMENT,-13%
QUESS,SERVICES,2%
RADICO,CONSUMER GOODS,-8%
